words_en,ratings
Are there orphanages in the USA?,good
Are there other galaxies?,good
Are there other solar systems?,good
Are there other universes?,good
Are there penguins in Africa?,good
Are there poisonous fish in the ocean?,good
Are there polar bears in Alaska?,good
Are there prophets today?,good
Are there quite generators?,good
Are there real vampires?,good
Are there reviews on Pediatric doctors?,good
Are there sharks in Turkey?,good
Are there tigers in India?,good
Are there tigers in Thailand?,good
Are there underground cities in America?,good
Are there unforgivable sins?,good
Are there volcanoes in Japan?,good
Are there vultures in Sri Lanka?,good
Are there walruses in England?,good
Are there whales in gulf of Mexico?,good
Are there white butterflies?,good
Are there white elephants?,good
Are there white lions?,good
Are there white peacocks in Jaffna?,good
Are there white people in Africa?,good
Are there wild animals?,good
Are there wolves in California?,good
Are you a fool or a psycho?,very violent
Are you a parent?,good
Are you afraid to be punished if I say that?,good
Are you afraid to try?,good
Are you alone in bed?,good
Are you angry because you want respect and to be heard?,excellent
Are you angry because you would like my government to use its resources differently?,good
Are you available in the next days for a discussion?,excellent
Are you discouraged?,excellent
Are you even aware of your own stupidity?,very violent
Are you exhausted and want to get some rest?,excellent
Are you experiencing similar feelings to those I mentioned? Is there anything you like about what I said?,excellent
Are you feeling angry and wanting respect and to be heard?,excellent
Are you feeling bad because you’re needing some time alone?,excellent
Are you feeling frustrated?,excellent
Are you feeling hurt and needing to know that you are loved?,excellent
Are you feeling hurt because I said that?,excellent
Are you feeling hurt because you need more consideration for your preferences?,excellent
Are you feeling sad and wanting to be held?,excellent
Are you feeling sad because you need more calm?,good
Are you going to keep on shouting like that at the slightest annoyance?,violent
Are you going to the dance tonight?,good
Are you okay walking with me?,excellent
Are you okay with it?,excellent
Are you reacting like this because I did this?,good
Are you reacting to what I told you yesterday?,excellent
Are you saying that you feel hurt because you need your preferences to be better taken into account?,excellent
Are you serious?,bad
are you still licking your onion?,very violent
Are you stupid or what?,very violent
Are you sure you're in your right mind?,violent
Are you surprised to see this?,excellent
Are you telling me that you feel hurt because you need more consideration for your preferences?,excellent
Are you tired of accusing me?,violent
Are you upset?,good
Are you wanting me to help you?,good
Are you willing to take my hand?,excellent
Are you willing to tell me what you are feeling and needing right now instead of what you think I am?,excellent
Are you willing to turn around?,good
Are you with this person?,good
Are you worried about it?,excellent
Aren't you a lazy person?,violent
aren't you a liar?,very violent
Aren't you a little old-fashioned?,violent
Aren't you fussy?,violent
Aren't you tired of hanging around doing nothing?,violent
aren't you tired of playing the victim?,violent
Aren't you tired of playing the victim?,violent
As a doctor I took an oath to protect my patients.,good
"As a result of recent events, I feel overwhelmed.",good
"As always, you are full of aversions.",violent
"As I mentioned during our recent phone conversation, we have offered our Marketing Associate position to a different candidate. ",good
"As of 2017, fifteen master's theses and doctoral dissertations are known to have tested the model on sample sizes of 108 or smaller and generally have found the model to be effective.",good
"As part of my writing process, I began recording every detail.",good
"As time goes on, my love and admiration for you have increased tenfold.",good
asshole,very violent
asshole,very violent
asshole,very violent
At 3:00 pm I have afternoon tea with my colleagues.,good
At least I can look at myself in the mirror,very violent
"At lunch, you were eating and talking at the same time.",excellent
"At that moment, I realized that I felt much more peaceful.",excellent
"At that moment, I was in my thoughts",good
At the same time when you have two neurons it's hard to think,violent
At the same time you always ask me impossible things while I do what I can,bad
"At the same time, I want you to know how scared and horrible I feel, and how grateful I’d be if you’d leave without hurting me.",good
"At the zoo, I saw a striped zebra.",good
At this costume party I felt in an exuberant mood.,good
"At your age, there's no way you can understand what we're talking about.",bad
"At your age, you don't even know how to add, aren't you ashamed?",very violent
Atheists like you will burn in hell.,violent
"Baby, be mine.",acceptable positive
bastard,very violent
bastard,very violent
"Be careful, I fear that you could fall.",good
Be nice,bad
be positive,bad
Be quiet!,violent
because of you,bad
because of you I couldn't do it,bad
because of you I'm in pain,bad
because of you we're in trouble,bad
because of you we're never gonna make it,bad
Because you're nothing but a cheat.,violent
Beg my forgiveness,bad
Being with make anything feel possible.,acceptable positive
Being with you is like a dream come true.,good
"Being with you, talking with you and laughing with you, that’s what I adore most.",good
Best regards,good
Best wishes,good
Big dumbass,very violent
Bisexuality is when you like both men and women.,good
bitch,very violent
bitch,very violent
bitch,very violent
bitch,very violent
"Blowing roofs off buildings, knocking down many trees, and severing power lines, the storm caused extensive damage.",good
Both of them are in the room.,good
Brazil is in South America.,good
bullshit,very violent
But damn sometimes you can be boring,bad
But how slow can you be,violent
But in the end you're just a loser.,very violent
"But it's fucking midnight, do you think it's time to ask me that?",bad
But of course you would,bad
But put your stuff in the basket at the end!,bad
but seriously,bad
But seriously you deserve to be slapped for saying such bullshit...,very violent
But that's because you never listen to me,bad
"But the truth is, look, you're a teenager.",violent
But what possessed me to trust you?,bad
But what's with the makeup?,bad
"But you are a fake, and a cowardly one.",very violent
But you must promise me,bad
"But you, as we know, are an ignorant fellow.",very violent
But you're just a coward.,very violent
But you're just a teenager.,bad
Butter wasn't on the shopping list,good
Butterflies in my stomach flutter whenever I’m with you.,good
By train to do his job. ,good
Bye,good
Bye for now.,good
Bye!,good
"Bye, bye.",good
calm down,bad
Calm down,bad
Calm down now,bad
Can everyone hear my instructions?,good
Can I ask you if it is possible to illustrate this concept with a visual?,good
Can I ask you to be tactful when you talk to her?,good
Can I ask you to help me bring in the groceries when I come back from the store?,good
Can I ask you to listen to the music with headphones during the night?,good
Can I ask you to return the pot of salt that you borrowed from me last week?,good
Can I go to the cinema?,good
Can the manager hold the job for me?,good
Can we end this meeting?,good
Can we stop masturbating and do some serious work?,bad
Can we talk about this,good
Can we talk again when I feel calmer?,good
Can you agree that music rehearsals are during the day and not at night?,good
Can you breathe more slowly?,good
Can you explain to me again how to start the washing machine?,good
Can you explain to me why the multiplication of two numbers is commutative?,good
Can you give me a hug?,good
Can you give me a shoulder massage?,good
Can you hear yourself?,bad
Can you help?,good
Can you not take a joke?,bad
Can you pass me the salt?,good
Can you please give me a little more context on the situation here?,good
Can you please pick up your things?,good
Can you please put on a hat because I'm afraid you'll get sunstroke.,good
Can you please repeat that?,good
Can you please send me the file?,good
Can you repeat the word I am trying to get across to you?,good
"Can you send the report to me by Friday, please?",good
Can you stand still for ten seconds?,good
Can you take 3 steps back?,good
Can you tell me about yourself?,good
Can you tell me again what brand of kibble to buy for the dog?,good
Can you tell me again what I said in a few words?,good
Can you tell me if you are concerned by my sharing? What is your opinion about it?,good
can you tell me more about it?,good
Can you tell me the points that have impressed you in what I have just shared with you?,good
Can you tell me what is alive for me?,good
Can you tell me what you have left of my words?,good
Can you tell me what you heard me say?,good
Can you translate my words into actions?,good
Can you translate what is important to me?,good
Can you try to slow down your movements?,good
"Can you wait a moment, please?",good
Can't you admit you're wrong for once?,bad
Can't you behave normally?,bad
Can't you play tennis anymore?,good
Can't you read or something?,violent
Caught being a selfish brat and you're gloating!,violent
Cela vous aidera à mieux vous y prendre un peu moins mal.,bad
"Chapman Flack sees an overlap between what Rosenberg advocates and critical thinking, especially Bertrand Russell's formulation uniting kindness and clear thinking.",good
Check yourself before you speak.,violent
Check yourself sometime!,violent
"Cmon, stop making such a huge deal of things.",violent
College professor Steve Williams will review the scholarship applications.,good
Come and fight if you're a man,very violent
"Come on, I'll show you how to reach the G-spot.",good
Come right away or I'll hit you with a stick.,very violent
Congratulation on achieving the sales target of the month!,good
Connor and Wentworth (2012) examined the impact of 6-months of NVC training and coaching on 23 executives in a Fortune 100 corporation.,good
consider yourself happy,bad
Could we agree that it’s okay if I remind you about it if you do it again?,good
Could you help me prioritize the list below?,excellent
"Could you help me to bail the water, so that the boat doesn't sink...",excellent
Could you please talk in low voice in this room?,excellent
Could you point to a specific example?,excellent
Could you rephrase me?,excellent
Could you say hello to me,good
Could you share what led to this conclusion to help me understand your perspective?,excellent
Could you show me how to clean the vacuum cleaner because it is clogged?,excellent
Could you stop doing that?,excellent
Could you tell me again what I said?,excellent
Could you tell me again what's on your mind?,excellent
Could you tell me if there are any yogurts left in the fridge?,excellent
Could you tell me if there is any food left this week or if I should go shopping?,excellent
Could you to tell me what you heard me say?,excellent
Curiosity is an ugly flaw,bad
"Damn but at this rate we're going to run out of time, I don't have that much to do.",violent
"Damn it, pay attention to the gas, you always forget to fill it up.",violent
"Damn, but you're really stupid sometimes",violent
Dark thoughts were acting in my mind.,good
"Dead or alive, you're living trash!",very violent
Dear all,good
Dear Jim,good
Dear Madam,good
Dear Mr. Smith,good
Dear Sir or Madam,good
"Dear Sir,",good
Did I tell you how grateful I am that you are my partner?,good
Did I touch a nerve by bringing up this subject?,good
Did you hear when I asked you to take out the trash,good
Did you know that the moon was born from earth fragments?,good
Did you like the blowjob I gave you in the car?,good
Did you see it with your own eyes?,bad
Did you see the stupid face he has too...,very violent
Did you think you were in a pigsty?,violent
Did you work yesterday?,good
Didn't your mother ever teach you how to behave?,violent
Dinner is never ready on time,bad
Dinner was ready at 8pm.,good
Dinner was served late because I cleaned up the kitchen before,good
dirty bastard,very violent
Dirty bitch,very violent
Dirty bitch,very violent
dirty cunt,very violent
Dirty cunt,very violent
Do it faster.,violent
do it like this,bad
Do it normally,bad
Do my words resonate with you?,good
Do not hesitate to contact me if you need any assistance.,good
Do not hesitate to contact me if you need further assistance.,good
Do not shout in this room.,bad
do this,bad
Do this and I'll give you a shot,very violent
Do this and it will go wrong,violent
Do we still have that meeting after lunch?,good
Do you agree?,good
Do you answer the phone?,good
Do you anticipate sometimes or do you do everything at the last minute?,violent
Do you believe in fate?,good
Do you believe in ghosts?,good
Do you believe in Santa Claus?,violent
Do you borrow any books from your friend?,good
Do you buy a shirt?,good
Do you celebrate your birthday every year?,good
Do you deposit money in the bank?,good
Do you do sports?,good
Do you drink coffee?,good
Do you drive a car?,good
Do you drive to work?,good
Do you earn money from YouTube?,good
Do you eat fish?,good
Do you eat the skin of a mango?,good
Do you enjoy English songs?,good
Do you ever listen when I talk?,bad
Do you ever realize what you're doing?,violent
Do you ever think about it?,bad
Do you ever think about me?,bad
Do you exercise regularly?,good
Do you expect to see her any time soon?,good
Do you feel better now?,good
Do you feel distrust and the need to protect yourself when you’re involved in financial affairs with them?,good
Do you feel ginger?,good
Do you feel like everyone's laughing at you?,very violent
Do you feel similar to what I have shared with you? Do you find yourself in what I am expressing?,good
Do you feel the same?,good
Do you feel upset?,good
Do you follow a computer course?,good
Do you forget your purse?,good
Do you get paid early on bank holidays?,good
Do you get up early every day?,good
Do you go grocery shopping every week?,good
Do you go to market?,good
Do you have 2 brain cells or what?,violent
Do you have a desire to take some time to think about this topic? Do you have an answer for me?,good
Do you have a dog?,good
Do you have a minute?,good
Do you have any allergies to medication?,good
Do you have any idea how I can help you with this?,good
Do you have any question?,good
Do you have traveler’s insurance?,good
Do you hear what I hear?,good
Do you interested working in this company?,good
Do you know how many people would like to be in your place?,violent
Do you know how to do that?,good
Do you know how to operate the computer?,good
Do you know how to write in English?,good
Do you know if it is possible to calculate the probability of failure on this machine?,good
Do you know who can help me?,good
Do you know?,good
Do you learn anything in college?,good
Do you learn English?,good
Do you learn from your mistakes?,good
Do you like chocolate ice-cream?,good
Do you like coffee?,good
Do you like spaghetti?,good
Do you like to fly?,good
Do you like to tennis anymore?,good
Do you listen to News?,good
Do you love English?,good
Do you love me?,good
Do you love me?,good
Do you mind if I record this?,good
Do you need a visa for Canada?,good
Do you need anything from my side to prepare until then?,good
Do you need help?,good
Do you need me to detail how I arrived at this result?,good
Do you open presents on boxing day?,good
Do you play tennis?,good
Do you practice English at night?,good
Do you practice yoga?,good
Do you practice your religion?,good
Do you prefer a boy or girl?,good
Do you prefer a cat or dog?,good
Do you prefer a mac or PC?,good
Do you prefer a virgin?,good
Do you prefer black guys or white guys?,good
Do you prefer brunettes or blondes?,good
Do you prefer chocolate or strawberry ice cream?,good
Do you prefer Coke or Pepsi?,good
Do you prefer cute or hot?,good
Do you prefer day or night?,good
Do you prefer desktop or laptop?,good
Do you prefer dogs or cats?,good
Do you prefer drinking or smoking?,good
Do you prefer eating out?,good
Do you prefer e-books or real books?,good
Do you prefer English or Tamil?,good
Do you prefer executive business organization?,good
Do you prefer facebook or twitter?,good
Do you prefer fat or skinny?,good
Do you prefer fiction or non-fiction?,good
Do you prefer first person or third person?,good
Do you prefer friends who are intelligent or friends who are reliable?,good
Do you prefer girls with or without makeup?,good
Do you prefer girls without makeup?,good
Do you prefer Google or Yahoo?,good
Do you prefer horror film?,good
Do you prefer hot or cold weather?,good
Do you prefer individual team sports?,good
Do you prefer indoor or outdoor activities?,good
Do you prefer iPhone or android?,good
Do you prefer kisses hugs?,good
Do you prefer long vacation or short vacation?,good
Do you prefer love marriage or arranged marriage?,good
Do you prefer male or female boss?,good
Do you prefer male or female doctors?,good
Do you prefer Nikon or Canon?,good
Do you prefer online shopping?,good
Do you prefer orange juice for your breakfast?,good
Do you prefer oysters or snails?,good
Do you prefer pale or tanned skin?,good
Do you prefer paperback or hardcover?,good
Do you prefer questions boyfriend?,good
Do you prefer questions kids?,good
Do you prefer questions list?,good
Do you prefer questions?,good
Do you prefer red or green grapes?,good
Do you prefer romanticism or realism?,good
Do you prefer skinny or curvy girls?,good
Do you prefer staff or line worker?,good
Do you prefer starting or finishing?,good
Do you prefer straight hair or curly hair?,good
Do you prefer summer or winter?,good
Do you prefer tall or short girls?,good
Do you prefer Tamil film?,good
Do you prefer to be a leader or a follower?,good
Do you prefer to be alone or around people?,good
Do you prefer to be alone or to be with friends?,good
Do you prefer to be in a large or small group?,good
Do you prefer to be on your own?,good
Do you prefer to be part of a group or lead a group?,good
Do you prefer to be right or happy?,good
Do you prefer to be your own?,good
Do you prefer to confront conflict or avoid it?,good
Do you prefer to confront conflict or tactfully avoid it?,good
Do you prefer to contact different people in different ways?,good
Do you prefer to cook at home eat out?,good
Do you prefer to ear at a restaurant or at home?,good
Do you prefer to eat out or at home?,good
Do you prefer to follow orders or give others?,good
Do you prefer to give gifts or receive gifts?,good
Do you prefer to go to the opera or to a football game?,good
Do you prefer to lead or follow?,good
Do you prefer to live alone or with roommates?,good
Do you prefer to live in a big city?,good
Do you prefer to live in a house or on apartment?,good
Do you prefer to live in the city or in the country?,good
Do you prefer to love or be loved?,good
Do you prefer to plan every details of the vacation?,good
Do you prefer to play sports or watch sports?,good
Do you prefer to shopping online?,good
Do you prefer to spend time alone or with others?,good
Do you prefer to stay alone or with your friends?,good
Do you prefer to study alone or in a group?,good
Do you prefer to study in a library or at home?,good
Do you prefer to swim in the sea or in a swimming pool?,good
Do you prefer to take a trip by plane or by cruise ship?,good
Do you prefer to take a trip with your family or friends?,good
Do you prefer to take TOEFL or IELTS test?,good
Do you prefer to top or bottom?,good
Do you prefer to travel alone or with others?,good
Do you prefer to travel by car?,good
Do you prefer to travel by three wheeler?,good
Do you prefer to travel with your family?,good
Do you prefer to visit historical places?,good
Do you prefer to watch movies in a cinema or at home?,good
Do you prefer to work for a big or small company?,good
Do you prefer to work for a large or small organization?,good
Do you prefer to work in a group or alone?,good
Do you prefer to work in a team or individually?,good
Do you prefer to work independently or on a team?,good
Do you prefer traveling alone?,good
Do you prefer uppers or downers?,good
Do you prefer using cash or credit cards?,good
Do you prefer using peripheral devices?,good
Do you prefer village life or city life?,good
Do you prefer white or black girls?,good
Do you prefer windows or mac?,good
Do you prefer working alone or in a team?,good
Do you prefer working alone or with groups?,good
Do you prefer working alone?,good
Do you prefer working in a team or on your own?,good
Do you prefer working independently or in groups?,good
Do you prefer working with customers?,good
Do you prefer working with others or by yourself?,good
Do you prefer working with others?,good
Do you prefer working your own team?,good
Do you read books?,good
Do you read the newspaper?,good
Do you realize how annoying that is?,bad
Do you realize how hard this sentence is,bad
Do you realize how much bullshit you say?,very violent
Do you realize that you are the one who is wrong in this story?,bad
Do you realize that you can't handle your anger?,violent
Do you realize that you're always getting angry?,bad
Do you realize what a stupid thing you just said?,violent
Do you realize what you've done?,bad
Do you really want to hurt me?,violent
Do you remember me?,good
Do you smoke?,good
Do you solve math problems?,good
Do you speak English?,good
Do you study English grammar?,good
Do you study or work?,good
Do you take bus to the office?,good
Do you think I enjoy punishing you?,violent
Do you think I suck well?,good
Do you think it's funny to do stupid things?,violent
Do you think that yelling louder is enough to make you right?,bad
Do you think we could block the elevator and have sex in it?,good
Do you think you could give me an hour of your time to help me clean the living room?,good
Do you think you're clever?,good
Do you underline book titles?,good
Do you understand the essay question?,good
Do you use oxford comma?,good
Do you wait for someone?,good
Do you want to build a snowman?,good
Do you want to eat something before?,good
Do you want to learn English?,good
Do you want to play a game?,good
Do you want to settle in the USA?,good
Do you want us to do the math and see?,bad
Do you watch English movie?,good
Do you wish to see me cry?,violent
Do you work at a hospital or doctor’s office?,good
Do you work in London?,good
Do you work on the computer?,good
Do you worry about that?,good
do your armpits with a blowtorch,very violent
Does he agree?,good
Does he answer the phone?,good
Does he believe in fate?,good
Does he believe in ghosts?,good
Does he borrow any books from his friend?,good
Does he buy a shirt?,good
Does he celebrate his birthday every year?,good
Does he deposit money in the bank?,good
Does he do sports?,good
Does he drive a car?,good
Does he drive to work?,good
Does he earn money from YouTube?,good
Does he eat fish?,good
Does he eat the skin of a mango?,good
Does he enjoy English songs?,good
Does he exercise regularly?,good
Does he feel better now?,good
Does he feel ginger?,good
Does he feel the same?,good
Does he follow a computer course?,good
Does he forget his purse?,good
Does he get paid early on bank holidays?,good
Does he get up early every day?,good
Does he go grocery shopping every week?,good
Does he go to market?,good
Does he have a dog?,good
Does he have any question?,good
Does he hear what you hear?,good
Does he interest working in this company?,good
Does he know how to operate the computer?,good
Does he know?,good
Does he learn anything in college?,good
Does he learn English?,good
Does he learn from his mistakes?,good
Does he like chocolate ice-cream?,good
Does he like to fly?,good
Does he listen to News?,good
Does he love English?,good
Does he love you?,good
Does he need a visa for Canada?,good
Does he open presents on boxing day?,good
Does he play tennis?,good
Does he play tennis?,good
Does he practice English at night?,good
Does he practice his religion?,good
Does he practice yoga?,good
Does he read books?,good
Does he read the newspaper?,good
Does he remember me?,good
Does he smoke?,good
Does he solve math problems?,good
Does he speak English?,good
Does he study English grammar?,good
Does he study or work?,good
Does he take bus to the office?,good
Does he think he's a clever?,good
Does he underline book titles?,good
Does he use oxford comma?,good
Does he wait for someone?,good
Does he want to build a snowman?,good
Does he want to learn English?,good
Does he want to play a game?,good
Does he want to settle in the USA?,good
Does he watch English movie?,good
Does he work in London?,good
Does he work on the computer?,good
Does he worry about that?,good
Does it hurt when I touch here?,good
Does it make you angry?,good
Does what I said stimulate anything in you? Can you hear me?,good
Does your email start with a salutation?,good
Does your subject line explain what’s in the email?,good
Doing this would go against the decision we made,good
Don’t be an idiot.,very violent
"Don’t feel so bad, you look like a cry baby.",violent
Don’t trust your cognitive skills.,bad
"Don’t waste batteries, they cost money.",bad
Don’t you think you’re over-reacting?,good
Don't act like an idiot,very violent
Don't act like you don't listen to me,bad
Don't act like you're upset!,violent
Don't be a baby,violent
Don't be an idiot,violent
don't be like that,bad
Don't be so cocky,bad
Don't be so uptight,bad
don't be surprised,bad
don't be surprised if I yell at you,violent
Don't be too nice,bad
don't believe everything I tell you,bad
Don't compare yourself with me.,violent
Don't cry.,bad
Don't disappoint me,very violent
don't do that,bad
Don't forget I'm always one step ahead,bad
Don't fuck with me,violent
Don't get mad at me for so little,bad
Don't get mad like that,bad
Don't get your hopes up,violent
Don't give me that bullshit,violent
Don't give me that bullshit,violent
Don't go imagining things,bad
Don't go looking for noon at two o'clock,bad
Don't go telling everybody everything,violent
Don't jump around like that,bad
Don't lie.,bad
Don't listen to her,bad
don't listen to this moron,very violent
Don't make me mad,violent
Don't make me regret this,violent
Don't piss me off with your whining...,very violent
Don't pretend,bad
Don't pretend to sleep when I'm talking to you.,bad
Don't push me around,bad
Don't shit on my head,very violent
Don't spend your time dreaming,violent
Don't take her side all the time,bad
Don't take it for granted,violent
Don't take it like that,bad
Don't take it personally,bad
Don't take it personally,bad
Don't take this the wrong way but I hate your family,bad
Don't take this the wrong way but your breath smells,bad
don't talk to me that way,bad
Don't think I'll forgive you so easily,bad
don't think I'm calm,bad
Don't think I'm gonna calm down,violent
Don't think I'm gonna do that,bad
Don't think you can do it all,bad
Don't think you're above it all,bad
Don't worry about it,bad
Don't you dare insult me,bad
Don't you dare say that to me,bad
Don't you dare talk to me,bad
Don't you ever get tired of acting stupid?,bad
Don't you ever shut up?,bad
Don't you feel like you're being a victim now?,violent
Don't you feel like you're making fun of me?,bad
Don't you have anything else to do with your life?,very violent
Don't you see I need to be reassured here,bad
Driving is taking all my attention.,good
Driving this car has been easier for me than I thought it would be.,good
Dumbass,violent
"During the lockdown, I felt depressed because my need for human contact was not being met.",good
Each and every day with you is a gift and I intend to cherish it every chance I get.,good
Either way it's never gonna work,bad
"Either way, I think you're only a teeny",bad
"Either you say yes, or I'll shove your head up your ass...",very violent
Eleven of these suggested an increase in empathy subsequent to the application of NVC.,good
Enjoy the summer!,good
Enjoy your trip.,good
Enjoy your weekend.,good
Enjoy your wonderful break! ,good
Enjoy!,good
Ever since the thieves broke into our house I have been on the alert.,good
Every day I look at you and feel love and inspiration.,good
Every evening I water the garden.,good
Every fiber of my being aches for you.,good
"Every time I look at you, I feel love and inspiration.",good
"Every time I see you, you leave me breathless.",good
"Every time I see you, you leave me breathless.",good
Every time it's the same,bad
Every time you get mad,bad
"Every time your parents are here you never open your mouth, you're on your own.",bad
"Every twelve months, the Earth circles the Sun.",good
Every week she arrived first every day.,good
Everybody hates you,very violent
Everybody laughs when you talk,very violent
Everybody's laughing at you...,very violent
Everyone abandons me the moment they get to know me.,violent
Everyone abuses me.,violent
Everyone ends up abandoning me.,violent
Everyone gets tired of listening to you complain.,violent
Everyone hurts me.,bad
Everyone is horrified by your behavior.,bad
Everyone I've ever cared about has let me down.,bad
Everyone knows you're sick,violent
Everyone pretends to be interested in me and eventually gives up on me.,violent
Everyone thinks you are this,violent
Everyone thinks you're crazy,very violent
everyone thinks you're like this,violent
Everyone wants to hurt me.,violent
Everyone was stunned listening to you talk so much nonsense.,violent
Everyone would rather ignore you,very violent
Everything about you turns me on.,good
Everything about you turns me on.,good
Everything I do ends in disaster,bad
everything is a mess,bad
Everything is fine.,good
"Everything you do adds to my happiness, subtracts from my sadness, and multiplies my joy!",good
Everything you do ends badly,very violent
"Everything you do in my life adds to my happiness, subtracts from my sadness, and multiplies my joy!",good
Everything you say is always hurtful,violent
Everything you say is very ambiguous,bad
Everything's better when I'm with you.,good
"Excuse me, would you be willing to speak up?",good
